Label,Assay ID,Condition ID,"K2HPO4
(mM)","KH2PO4
(mM)","Na2HPO4
(mM)","Glucose
(mM)","(NH4)2SO4
(mM)","NH4Cl
(mM)","Alanine
(mM)","Arginine/HCl
(mM)","Asparagine/H2O
(mM)","AsparticAcid
(mM)","Cystine/HCl/H2O
(mM)","GlutamicAcid/HCl
(mM)","Glutamine
(mM)","Glycine
(mM)","Histidine/HCl/H2O
(mM)","Isoleucine
(mM)","Leucine
(mM)","Lysine/HCl
(mM)","Methionine
(mM)","Phenylalanine
(mM)","Proline
(mM)","Serine
(mM)","Threonine
(mM)","Tryptophan
(mM)","Tyrosine
(mM)","Valine
(mM)","KCl
(mM)","NaCl
(mM)","MgSO4/7H2O
(mM)","MgCl2/6H2O
(mM)","CaCl2/2H2O
(mM)","CaSO4/2H2O
(mM)","Na3C6H5O7/2H2O
(mM)","Na2S2O3/5H2O
(mM)","FeSO4/7H2O
(mM)","CuSO4/5H2O
(mM)","Na2MoO4/2H2O
(mM)","ZuSO4/7H2O
(mM)","Thiamine/HCl
(mM)","Pyridoxine
(mM)","FolicAcid
(mM)","Riboflavin
(mM)","H3BO3
(mM)","AminobenzoicAcid
(mM)"
Curve00666,Round01_0666,Cond00049,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00667,Round01_0667,Cond00049,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00668,Round01_0668,Cond00049,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00669,Round01_0669,Cond00049,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00670,Round01_0670,Cond00049,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00671,Round01_0671,Cond00049,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00672,Round01_0672,Cond00049,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00673,Round01_0673,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00674,Round01_0674,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00675,Round01_0675,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00676,Round01_0676,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00677,Round01_0677,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00678,Round01_0678,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00679,Round01_0679,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00680,Round01_0680,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00681,Round01_0681,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00682,Round01_0682,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00683,Round01_0683,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00684,Round01_0684,Cond00050,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00685,Round01_0685,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00686,Round01_0686,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00687,Round01_0687,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00688,Round01_0688,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00689,Round01_0689,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00690,Round01_0690,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00691,Round01_0691,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00692,Round01_0692,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00693,Round01_0693,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00694,Round01_0694,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00695,Round01_0695,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00696,Round01_0696,Cond00051,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00697,Round01_0697,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00698,Round01_0698,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00699,Round01_0699,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00700,Round01_0700,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00701,Round01_0701,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00702,Round01_0702,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00703,Round01_0703,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00704,Round01_0704,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00705,Round01_0705,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00706,Round01_0706,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00707,Round01_0707,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00708,Round01_0708,Cond00003,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00709,Round01_0709,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00710,Round01_0710,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00711,Round01_0711,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00712,Round01_0712,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00713,Round01_0713,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00714,Round01_0714,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00715,Round01_0715,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00716,Round01_0716,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00717,Round01_0717,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00718,Round01_0718,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00719,Round01_0719,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00720,Round01_0720,Cond00052,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00721,Round01_0721,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00722,Round01_0722,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00723,Round01_0723,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00724,Round01_0724,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00725,Round01_0725,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00726,Round01_0726,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00727,Round01_0727,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00728,Round01_0728,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00729,Round01_0729,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00730,Round01_0730,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
Curve00731,Round01_0731,Cond00053,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1e-05,0.001,0.0001,0.001,0.002,5e-05,0.0005,0.008,0.001
